state,fips,year,traffic_deaths,population,traffic_crude_rate,traffic_crude_rate_standard_error,traffic_age_adjusted_rate,traffic_age_adjusted_rate_standard_error,long_commute_prop,long_car_commute_prop,long_car_commute_alone_prop,deaths,crude_rate,crude_rate_standard_error,age_adjusted_rate,age_adjusted_rate_standard_error
Alabama,01,2012,900,4822023,18.7,0.6,18.5,0.6,33.4004386762208,32.71346400557955,28.636723273018394,49301,1022.4,4.6,926.7,4.2
Alabama,01,2013,938,4833722,19.4,0.6,19.4,0.6,33.76521485036629,32.975115784138545,29.134521645363076,50189,1038.3,4.6,925.2,4.2
Alabama,01,2014,930,4849377,19.2,0.6,18.9,0.6,33.32321467670123,32.6565627094344,29.151319895005262,50215,1035.5,4.6,909.1,4.1
Alabama,01,2015,995,4858979,20.5,0.6,20.1,0.6,34.35029153486252,33.69329854833195,29.90883824461002,51909,1068.3,4.7,924.5,4.1
Alabama,01,2016,1186,4863300,24.4,0.7,24.4,0.7,34.48884163639204,33.825436735681066,30.63680017736482,52466,1078.8,4.7,920.4,4.1
Alaska,02,2012,89,731449,12.2,1.3,12.2,1.4,18.868143096462983,15.278850380790571,11.62866681716112,3912,534.8,8.6,731.4,12.7
Alaska,02,2013,101,735132,13.7,1.4,13.3,1.4,17.42001431053869,13.93875673544487,11.401410610242257,3997,543.7,8.6,724.4,12.3
Alaska,02,2014,108,736732,14.7,1.4,13.9,1.4,17.16787915295862,14.526956582178768,12.03662944256522,4128,560.3,8.7,736.8,12.3
Alaska,02,2015,90,738432,12.2,1.3,12.6,1.4,17.1868695602052,14.069398812611677,11.335523661306127,4316,584.5,8.9,747.4,12.2
Alaska,02,2016,141,741894,19,1.6,18.9,1.7,15.329969305180914,12.906357548135059,10.75306948190866,4494,605.7,9,745.6,11.9
Arizona,04,2012,860,6553255,13.1,0.4,13,0.4,35.93977985545705,33.08863330005817,28.21136736052312,49549,756.1,3.4,682.9,3.1
Arizona,04,2013,904,6626624,13.6,0.5,13.3,0.4,35.6478466297813,32.615594461665125,27.529046458973987,50534,762.6,3.4,674.2,3
Arizona,04,2014,885,6731484,13.1,0.4,12.8,0.4,35.36511508315358,32.76164736347909,28.19244184979507,51538,765.6,3.4,661.7,3
Arizona,04,2015,959,6828065,14,0.5,13.9,0.5,35.93231646476008,32.96448307802132,28.209672392361295,54299,795.2,3.4,671.8,2.9
Arizona,04,2016,1034,6931071,14.9,0.5,14.6,0.5,36.17652273710775,33.710040559231494,28.853100235777955,56645,817.3,3.4,675.8,2.9
Arkansas,05,2012,635,2949131,21.5,0.9,21.2,0.9,26.494708450267662,25.89058390586006,21.920850612734498,30117,1021.2,5.9,897.5,5.2
Arkansas,05,2013,560,2959373,18.9,0.8,19,0.8,26.886528551898202,26.182185298138606,22.771016931328212,30437,1028.5,5.9,893.8,5.2
Arkansas,05,2014,556,2966369,18.7,0.8,18.8,0.8,26.47597986922111,25.86942470365365,22.085344769796215,30467,1027.1,5.9,883.7,5.1
Arkansas,05,2015,620,2978204,20.8,0.8,20.5,0.8,26.89062142465582,26.115342763873777,22.582264811287676,31617,1061.6,6,901.8,5.1
Arkansas,05,2016,661,2988248,22.1,0.9,21.7,0.9,26.09764426391825,25.512549874354207,22.37279384613374,31756,1062.7,6,893.2,5.1
California,06,2012,3378,38041430,8.9,0.2,8.7,0.2,40.0838404038852,34.62728933328777,29.1915319881628,242554,637.6,1.3,630.4,1.3
California,06,2013,3614,38332521,9.4,0.2,9.2,0.2,40.58868125240657,34.7563052960012,29.439154626194465,248359,647.9,1.3,630.1,1.3
California,06,2014,3682,38802500,9.5,0.2,9.2,0.2,41.41961710127652,35.502710097573804,30.138432785053084,245929,633.8,1.3,605.7,1.2
California,06,2015,4004,39144818,10.2,0.2,9.9,0.2,42.502244535117335,36.617076758030144,31.471001794487897,259206,662.2,1.3,621.6,1.2
California,06,2016,4431,39250017,11.3,0.2,10.9,0.2,43.42442580042714,37.681073571258395,32.393695080239084,262240,668.1,1.3,616.9,1.2
Colorado,08,2012,562,5187582,10.8,0.5,10.7,0.5,33.97979987167692,30.319639210505112,26.143866118783638,33133,638.7,3.5,665.6,3.7
